comment_urn,post_urn,ts,author,numLikes,lang,text,company
6783321583789334528,6736697001603403778,2021-04-01 09:38:13,107761449,96,English,"I WAS a big fan of electric cars till yesterday.... Saw how ground-materials are being mined in DRC by orphans, minor-minor aged naked children working themselves to death for a Dollar per day. Driving a car build on this foundation would make me feel so a-shamed! Western progression gain over thousands of death children. What kinda world is this? Same counts for each new cellphone... Why there is no label for cobalt, like for tropical wood, stating the batteries are 'clean'? Elon Musk, Tesla and SpaceX News by Newslines Where are you in this discussion? I cannot imagine you are proud of this situation?
",tesla-motors
6961391483920781312,6736697001603403778,2022-08-05 18:44:26,298964009,6,English,"Hello, I am the CEO of BNP company, I am planning to produce an electric car in Iran, are there any engineers who can help me in this regard?  Cooperation regarding car design, battery production, software production and investment in this project.  The car market in Iran is very attractive and it is about 1250,000 units per year, Iran is in the center of the 500 million market in West Asia, and there are resources and raw materials, a young educated population, a lot of wealth, and advanced car parts manufacturing industries (hundreds of large factories).  The energy power of the world and the first to sixth rank in the world in medicine, engineering, aerospace, nuclear, stem cells and many petrochemicals and thousands of knowledge-based companies are among Iran's infrastructures, thank you for referring to my company's website BNPiran.  com",tesla-motors
6835623046938726400,6736697001603403778,2021-08-23 17:25:34,876394820,20,English,"Join the team according to Automotive News China which just reported: Tesla expands China PR, legal teams after setbacks
The automaker has faced scrutiny over quality and safety issues.

Tesla is looking to expand its public relations and legal teams in China after a run of bad publicity and tighter regulatory scrutiny.  Data released last week showed Tesla's shipments of China-made cars to the local market PLUNGED 69 percent in July from June to just 8,621 vehicles. 

The California-based company is also beefing up its legal team in China where it faces a tougher regulatory environment -- advertising for a data-privacy protection lawyer, an anti-trust lawyer, an engineering lawyer and an after-sales lawyer.",tesla-motors
6847916426657873920,6736697001603403778,2021-09-26 15:35:04,228682347,21,English,I'm just a happy... Tesla 3 driver...😉😃❗,tesla-motors
6920637448205000704,6736697001603403778,2022-04-15 07:42:26,204090808,8,English,"IDEA: Energy Saving & Producing Car Wheels ⚡️

What if Car Wheels on Electric ⚡️ Tesla Cars could be Re-Designed to exploit the rotating motion and power your car battery 🔋 as you drive.  Wheels are empty but turn thousands of times while you drive so there’s scope to invent a new set of wheels that exploit the circular rotation and create more miles for your buck as they either add more miles to your car battery 🔋 or totally recharge it as you drive.  Light weight wheels with electric energy rotation producing technology in that directs the power produced to your existing Tesla Car 🚘 Battery or a back up one you can switch to while driving that may be situated in the Car Boot.  The wheels are the main moving part on a car as you drive and anything that rotates in a circular motion has the power to create electricity ⚡️& the wheel has so much more power to become more than just a wheel and one that produces electric fuel ⛽️.  Wind 💨 Turbine technology could be incorporated into the wheel 🛞.",tesla-motors
6843065374490017793,6736697001603403778,2021-09-13 06:18:43,865250175,22,English,"Hello to all link friends. In addition to being an entrepreneur, I am also a dad who does his work in a wheelchair. I am very sorry about ELON MASCK and all those like him who are considered as careerists.
I turn to you ELON MUSCK you did a lot to do a research by causing a medullary fracture to 3 pigs and then with an implanted chip you brought them back and made them walk again. Where did this research of yours go? that we no longer talk about it and we only talk about your Tesla, # bitcoin. of your spaceX company for travel to Mars.
You may not know but thanks to a brilliant invention like yours and testing it on human beings would give many opportunities to people in the body shop to be able to find a smile and walk.
I hope that what I have written reaches you and does not go unnoticed.

Thanks to all likedin friends",tesla-motors
6951754940574810112,6736697001603403778,2022-07-10 04:32:15,828171121,2,English,And it should be mandatory on your sore installations on houses battery back up that there’s a suppression system in the basement not a foam fire extinguisher the basement will get so hot you won’t even be able to get to it it should be on a relay to put that fire out batteries explode dangerous working on lithium ion batteries car batteries this is how they been doing it for generations switching the power switchgear rooms for the utility companies the DC power switch is the AC power when there’s a problem on the roads and electricians have to change out the batteries it’s like being in a death trap and you can’t get out a special door it’s got a push door in case of fire so I can’t look behind you and push your way out  as to why we have these doors in those rooms come in person doesn’t know this we go to school and we are professionals we’re educated in our jobs and what we do for a living,tesla-motors
6924052543119478784,6736697001603403778,2022-04-24 17:52:48,53564190,3,English,"Hi Telsa Team,
My name is Joseph Scott Keif.
My background is over 20 in design control, Quality systems and human factor. I was the Danaher Business System coordinator for Massachusetts back in the 90's. I have a Blackbelt in Six Sigma leam from Johnson and Johnson.
I am also a designer.
The reason why I am introducing myself this way is because I have been doing a lot of research on the Telsa and almost bought one. One of the reason why I did buy one was my wife didn't like the way the seats felt, as well as the head rest. As a designer, you might want to look at the XC90 infinity seats. As a comparison to the Telsa Y seats and head rest.
Yes, that is the vehicle we bought, happy wife happy life. 
I would love to work with Tesla to really help them understand the human factors, when designing a vehicle.
The suggestion that I mentioned above is one of a dozen that I have done reach on. The ideas/investions that I have developed already exist, but you need to look outside the box to see them.
Please contact me if you are interested.
781-718-6439 

Thank you and have a nice day.
Scott Keif",tesla-motors
6922816205082771456,6736697001603403778,2022-04-21 08:00:02,204090808,3,English,"IDEA: Tesla Hire Out Touch Screen Interface for all Tesla cars so customers can hire them out legally to pay there cars of faster or to make some extra money 💰 

A touch screen that lets you set up a hire out to someone and it takes ID 🪪 & driving licence details, insurance details, sets daily hire cost, incorporates Tesla Insurance in the cost of the hire and works out your tax deduction on your daily hire out charge so everything is sorted before the driver hires your Tesla Car out.  We are in difficult economic times so more people are inclined to hire cars and more people will be inclined to buy cars that are designed to hire out so they help pay for themselves.  Also Tesla makes 15% on every hire out processed through the touch screen interface which is effectively a full in car business set up and organised for Tesla Car Owners.",tesla-motors
6817384072403394560,6736697001603403778,2021-07-04 09:30:23,262819482,6,Other,Great!!,tesla-motors
6890327753359462400,6736697001603403778,2022-01-21 16:22:32,872158502,5,English,"Tesla what makes a physical mass levitate, for example in the future a car flying, it will not be combustion or magnetism or the force of the air, but the sound waves that have the power to break a glass",tesla-motors
6957809846733697024,6736697001603403778,2022-07-26 21:32:17,326686744,3,English,OPEN application since December 7th 2021 and Jun 9th 2022. Doesn't seem like Tesla is very motivated to succeed since hiring is so slow and 1st service took 3 hours longer than estimated. I could fix that for you.,tesla-motors
6835482114343919616,6736697001603403778,2021-08-23 08:05:33,872261204,18,English,"This morning I applied for a Tesla Product Engineer job in the US, because I am a Tesla owner and a compulsive innovator.  During my last holidays, I had 2 ideas about superchargers : First, cover them with photovoltaic roofs, not only to produce a little electricity, but also to protect drivers and cars from heat and rain. Second, allow Tesla cars to automatically park on the nearest charger when they arrive at superchargers on the push of a button on the car screen. And even if I don't get the job, I think that it would be a good idea to create king of ""Tesla forums"" by country, in order to get (freely !) the best ideas and remarks from Tesla users and fans, to improve even more what is already excellent...",tesla-motors
6897849579656613888,6736697001603403778,2022-02-11 10:31:35,972667126,3,Other,Cool！,tesla-motors
6857221119368323073,6736697001603403778,2021-10-22 07:48:35,901102380,7,German,"Bereits jetzt zahlreiche Zulieferer aus dem deutschsprachigen Raum
Eine Untersuchung am Beispiel des Tesla Model 3 von Professor Jan-Philipp Büchler von der Fachhochschule Dortmund in Zusammenarbeit mit dem Handelsblatt ergab, dass schon jetzt zahlreiche deutsche Zulieferer mit Tesla zusammenarbeiten.
Als Zulieferer von Tesla hat Büchler 50 Weltmarktführer aus der DACH-Region identifiziert. Darunter befinden sich neun ""Big Champions"", also große Weltmarktführer, wie Bosch, Continental, HELLA, Henkel und Sika als Tier 1-Lieferanten (Automobilzulieferer, die direkt an den Automobilhersteller liefern) und zum Beispiel Schaeffler als Tier 2-Lieferant (Unterlieferant, der mit Tier 1-Lieferanten zusammenarbeitet). Den größeren Anteil machen aber die 41 mittelständische Weltmarktführer - ""Hidden Champions"", wie Büchler sie nennt - aus. Darunter befinden sich 38 mit Stammsitz in Deutschland, zwei mit Stammsitz in der Schweiz (Autoneum und Bossard) und ein Unternehmen mit Stammsitz in Österreich (Engel). Zu den Hidden Champions mit Stammsitz in Deutschland zählen unter anderem Stabilus und Dürr als Tier 1-Lieferanten und Infineon, JENOPTIK",tesla-motors
6818926800031371264,6736697001603403778,2021-07-08 15:40:38,281229581,7,English,"What position would they offer at Tesla? I have the background of 40 years of OEM Automotive contacts all over the World as a Sales Engineer, and system development & testing engineer for The Sheller-Globe R&D Center and BASF Wyandotte. During the 8 years of product develop, I co-invented and manufactured the first OEM automotive Crash Dummy, and developed many useful systems , such as a flexible micro cellular shoe sole system that would not fail or fracture, and more? My employers were Bridgestone, LOF, Magna, Standard Products, Keeler-Brass, and Program Manager for Jeep Production in Beijing.  I have been to the TESLA MFG. plant in Fremont, Ca., many times, where Toyota and General Motors built automobiles. I knew my share of celebrities in the OEM arena, such as Lee Iacocca, Roger Smith, Carroll Shelby, and more. I have built and restored many Corvettes for years. I have sat in the TESLA automobiles, with an offer to drive. I am very impressed with the style & application. Certainly there are more idea's that can be introduced in manufacturing, durability, & NVH issues ?",tesla-motors
6795771210937569280,6736697001603403778,2021-05-05 18:08:36,685088075,10,English,What using a magnets like the monorail it does in Florida. Had an idea as well bring a whole 100 ft below Union Station 2 to 300 ft in diameter putting a transatlantic canal system between the Pacific and Atlantic Ocean as well as wearing a hole through and having four trains going from Union Station to Union Station Los Angeles to Jacksonville Florida on a 4-Hour bullet train That's by boring a hole 100 feet below Union Station to Jacksonville Florida then you'd have to put a loop on it for Houston Texas which would be 15 down and 15 up so it be a four and a half hour trip from Union Station to Houston Texas to Jacksonville Florida. The tunneling that I would be using is the same type of tunneling that Norway is using to cross the Sea of Norway to connect the islands to each other and have a highway passage through the water system,tesla-motors
6926290268811894784,6736697001603403778,2022-04-30 22:04:44,204090808,6,English,"IDEA: Twitter Cypto Currency:

Give every Exsisting Twitter Member & New Twitter Member a Twitter Crypto Currency Account with a Set Amount of Twitter Crypto Currency in to the value of the day they join or get it as an existing Twitter member.  With guidelines and rules on how to grow it and you have to keep your Twitter Crypto Currency Account for a minimum of 5 years before you can cash 💵 in the crypto currency or buy goods and services with it.  You can also buy more Twitter Crypto Currency and your Twitter crypto currency has a higher against conventional currency for buying Tesla Cars 🚘.  Facebook could never compete with that though they could offer all Existing and New Facebook Users a set percentage of land in the metaverse.",tesla-motors
